Handle,Title,Vendor,Variant SKU,Variant Price,Variant Inventory Qty,Product Type,Variant Inventory Tracker,Status
akasha-rabut-books-death-magick-abundance,Death Magick Abundance,AKASHA RABUT,AKASHA-RABUT-BOOKS-DEATH-MAGICK-ABUNDANCE,20,1,BOOKS,shopify,draft
alex-luciano-prints-howdy-risograph-art-print-11-x-14,"Howdy Risograph Art Print 11 x 14""",ALEX LUCIANO,ALEX-LUCIANO-PRINTS-HOWDY-RISOGRAPH-ART-PRINT-11-X-14,15,4,PRINTS,shopify,draft
alex-luciano-cards-love-ya-partner-risograph-a2-greeting-card,"Love Ya, Partner risograph A2 greeting card",ALEX LUCIANO,ALEX-LUCIANO-CARDS-LOVE-YA-PARTNER-RISOGRAPH-A2-GREETING-CARD,3,7,CARDS,shopify,draft
alexa-pulitzer-gift-tags-christmas-gator-gift-tags,Christmas Gator Gift Tags,ALEXA PULITZER,ALEXA-PULITZER-GIFT-TAGS-CHRISTMAS-GATOR-GIFT-TAGS,5,6,GIFT TAGS,shopify,draft
alexa-pulitzer-cards-jackson-square-a6-notes-10-pack,Jackson Square A6 Notes (10 pack),ALEXA PULITZER,ALEXA-PULITZER-CARDS-JACKSON-SQUARE-A6-NOTES-10-PACK,8,1,CARDS,shopify,draft
alexa-pulitzer-cards-jazz-a10-notes,Jazz A10 Notes,ALEXA PULITZER,ALEXA-PULITZER-CARDS-JAZZ-A10-NOTES,10,1,CARDS,shopify,draft
alexa-pulitzer-cards-king-gator-a7-horizontal-notes-10-pack,King Gator A7 Horizontal Notes (10 pack),ALEXA PULITZER,ALEXA-PULITZER-CARDS-KING-GATOR-A7-HORIZONTAL-NOTES-10-PACK,,3,CARDS,shopify,draft
alexa-pulitzer-gift-tags-king-gator-gift-tags,King Gator Gift Tags,ALEXA PULITZER,ALEXA-PULITZER-GIFT-TAGS-KING-GATOR-GIFT-TAGS,,0,GIFT TAGS,shopify,draft
alexa-pulitzer-napkins-king-gator-napkins,King Gator Napkins,ALEXA PULITZER,ALEXA-PULITZER-NAPKINS-KING-GATOR-NAPKINS,6.5,0,NAPKINS,shopify,draft
alexa-pulitzer-cards-king-pelican-a6-notes-10-pack,King Pelican A6 Notes (10 pack),ALEXA PULITZER,ALEXA-PULITZER-CARDS-KING-PELICAN-A6-NOTES-10-PACK,,2,CARDS,shopify,draft
alexa-pulitzer-napkins-kissing-gator-napkins-20-pack,Kissing Gator Napkins (20 pack),ALEXA PULITZER,ALEXA-PULITZER-NAPKINS-KISSING-GATOR-NAPKINS-20-PACK,6.5,3,NAPKINS,shopify,draft
alexa-pulitzer-napkins-queen-pelican-beverage-napkin-20-pack,Queen Pelican Beverage Napkin (20 pack),ALEXA PULITZER,ALEXA-PULITZER-NAPKINS-QUEEN-PELICAN-BEVERAGE-NAPKIN-20-PACK,6.5,0,NAPKINS,shopify,draft
alexa-pulitzer-cards-second-line-gators-a6-notes-10-pack,Second Line Gators A6 Notes (10 pack),ALEXA PULITZER,ALEXA-PULITZER-CARDS-SECOND-LINE-GATORS-A6-NOTES-10-PACK,9.75,0,CARDS,shopify,draft
alexa-pulitzer-cards-swampy-gator-monarch-notes-10-pack,Swampy Gator Monarch Notes (10 pack),ALEXA PULITZER,ALEXA-PULITZER-CARDS-SWAMPY-GATOR-MONARCH-NOTES-10-PACK,9,3,CARDS,shopify,draft
aquiesse-home-goods-monterey-pine-candle,Monterey Pine Candle,AQUIESSE,AQUIESSE-HOME-GOODS-MONTEREY-PINE-CANDLE,,1,HOME GOODS,shopify,draft
aquiesse-home-goods-winter-currant,Winter Currant,AQUIESSE,AQUIESSE-HOME-GOODS-WINTER-CURRANT,,3,HOME GOODS,shopify,draft
aratta-scarves-bandana-hand-embellished-scarf,Bandana Hand Embellished Scarf,ARATTA,ARATTA-SCARVES-BANDANA-HAND-EMBELLISHED-SCARF,39,1,SCARVES,shopify,draft
aratta-scarves-bandana-leopard-safari,Bandana Leopard Safari,ARATTA,ARATTA-SCARVES-BANDANA-LEOPARD-SAFARI,19,0,SCARVES,shopify,draft
aratta-scarves-bandana-scarf-hand-embellished,Bandana Scarf Hand Embellished,ARATTA,ARATTA-SCARVES-BANDANA-SCARF-HAND-EMBELLISHED,39,0,SCARVES,shopify,draft
aratta-tops-blazer-coco-boucl-lined,Blazer Coco Bouclé Lined,ARATTA,ARATTA-TOPS-BLAZER-COCO-BOUCL-LINED,130,1,TOPS,shopify,draft
aratta-tops-button-up-marcella-white,Button Up Marcella White,ARATTA,ARATTA-TOPS-BUTTON-UP-MARCELLA-WHITE,75,1,TOPS,shopify,draft
aratta-tops-button-up-miss-texas-roses-denim,Button Up Miss Texas Roses Denim,ARATTA,ARATTA-TOPS-BUTTON-UP-MISS-TEXAS-ROSES-DENIM,69,1,TOPS,shopify,draft
aratta-tops-jacket-blazer-colonel-embroidered-floral-knit-french-terry,Jacket/Blazer Colonel Embroidered Floral Knit French Terry,ARATTA,ARATTA-TOPS-JACKET-BLAZER-COLONEL-EMBROIDERED-FLORAL-KNIT-FRENCH-TERRY,79,1,TOPS,shopify,draft
aratta-kimonos-kimono-french-kiss,Kimono French Kiss,ARATTA,ARATTA-KIMONOS-KIMONO-FRENCH-KISS,77,1,KIMONOS,shopify,draft
aratta-kimonos-kimono-french-riviera-hand-beaded-olive-floral,Kimono French Riviera Hand Beaded Olive Floral,ARATTA,ARATTA-KIMONOS-KIMONO-FRENCH-RIVIERA-HAND-BEADED-OLIVE-FLORAL,77,0,KIMONOS,shopify,draft
aratta-kimonos-kimono-jewels-maxi-velvet-burnout,Kimono Jewels Maxi Velvet Burnout,ARATTA,ARATTA-KIMONOS-KIMONO-JEWELS-MAXI-VELVET-BURNOUT,85,1,KIMONOS,shopify,draft
aratta-kimonos-kimono-legend-of-the-crane-pink,Kimono Legend of the Crane Pink,ARATTA,ARATTA-KIMONOS-KIMONO-LEGEND-OF-THE-CRANE-PINK,75,1,KIMONOS,shopify,draft
aratta-kimonos-kimono-my-valentine,Kimono My Valentine,ARATTA,ARATTA-KIMONOS-KIMONO-MY-VALENTINE,75,0,KIMONOS,shopify,draft
aratta-kimonos-kimono-primavera,Kimono Primavera,ARATTA,ARATTA-KIMONOS-KIMONO-PRIMAVERA,75,1,KIMONOS,shopify,draft
bart-bridge-hats-new-orleans-low-profile,New Orleans Low Profile,BART BRIDGE,BART-BRIDGE-HATS-NEW-ORLEANS-LOW-PROFILE,18,7,HATS,shopify,draft
bart-bridge-hats-dogtown-black,Dogtown (Black),BART BRIDGE,BART-BRIDGE-HATS-DOGTOWN-BLACK,18,2,HATS,shopify,draft
bart-bridge-hats-dogtown-low-profile,Dogtown Low Profile,BART BRIDGE,BART-BRIDGE-HATS-DOGTOWN-LOW-PROFILE,18,2,HATS,shopify,draft
bart-bridge-accessories-dogtown-patch,Dogtown Patch,BART BRIDGE,BART-BRIDGE-ACCESSORIES-DOGTOWN-PATCH,6,30,ACCESSORIES,shopify,draft
bart-bridge-hats-football-cap,Football Cap,BART BRIDGE,BART-BRIDGE-HATS-FOOTBALL-CAP,18,0,HATS,shopify,draft
bart-bridge-accessories-louisiana-patch,Louisiana Patch,BART BRIDGE,BART-BRIDGE-ACCESSORIES-LOUISIANA-PATCH,6,0,ACCESSORIES,shopify,draft
bart-bridge-hats-new-orleans-high-profile-hat,New Orleans High Profile Hat,BART BRIDGE,BART-BRIDGE-HATS-NEW-ORLEANS-HIGH-PROFILE-HAT,18,9,HATS,shopify,draft
bart-bridge-hats-lower-nine-black,Lower Nine (Black),BART BRIDGE,BART-BRIDGE-HATS-LOWER-NINE-BLACK,18,4,HATS,shopify,draft
bart-bridge-hats-lower-nine-low-profile,Lower Nine Low Profile,BART BRIDGE,BART-BRIDGE-HATS-LOWER-NINE-LOW-PROFILE,18,8,HATS,shopify,draft
bart-bridge-hats-louisiana,Louisiana,BART BRIDGE,BART-BRIDGE-HATS-LOUISIANA,18,3,HATS,shopify,draft
bathing-culture-bath-and-body-refill-mind-body-wash-cathedral-grove,Refill Mind & Body Wash Cathedral Grove,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-REFILL-MIND-BODY-WASH-CATHEDRAL-GROVE,,0,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-refill-mind-body-wash-cathedral-grove,Refill Mind & Body Wash Cathedral Grove,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-REFILL-MIND-BODY-WASH-CATHEDRAL-GROVE,,0,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-body-oil-heat-wave-4oz,Body Oil Heat Wave 4oz,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-BODY-OIL-HEAT-WAVE-4OZ,,1,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-conditioner-good-seed-8oz,Conditioner Good Seed 8oz,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-CONDITIONER-GOOD-SEED-8OZ,,2,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-face-body-oil-outer-being-cathedral-grove-2oz,Face & Body Oil Outer Being (Cathedral Grove) 2oz,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-FACE-BODY-OIL-OUTER-BEING-CATHEDRAL-GROVE-2OZ,,1,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-mind-body-bar,Mind & Body Bar,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-MIND-BODY-BAR,,0,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-mind-body-wash-2-7-oz,Mind & Body Wash 2.7 oz,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-MIND-BODY-WASH-2-7-OZ,,8,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-mind-body-wash-refillable-glass-jar-cathedral-grove-16-oz,Mind & Body Wash Refillable Glass Jar Cathedral Grove 16 oz,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-MIND-BODY-WASH-REFILLABLE-GLASS-JAR-CATHEDRAL-GROVE-16-OZ,18,8,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-perfume-oil-break-water-9ml,Perfume Oil Break Water 9ml,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-PERFUME-OIL-BREAK-WATER-9ML,,4,BATH AND BODY,shopify,draft
